132.png	adult	🧑️	\U0001F9D1\U0000FE0F	U+1F9D1	adult
133.png	adult: light skin tone	🧑🏻️	\U0001F9D1\U0001F3FB\U0000FE0F	U+1F9D1 U+1F3FB	adult: light skin tone
134.png	adult: medium-light skin tone	🧑🏼️	\U0001F9D1\U0001F3FC\U0000FE0F	U+1F9D1 U+1F3FC	adult: medium-light skin tone
135.png	adult: medium skin tone	🧑🏽️	\U0001F9D1\U0001F3FD\U0000FE0F	U+1F9D1 U+1F3FD	adult: medium skin tone
136.png	adult: medium-dark skin tone	🧑🏾️	\U0001F9D1\U0001F3FE\U0000FE0F	U+1F9D1 U+1F3FE	adult: medium-dark skin tone
137.png	adult: dark skin tone	🧑🏿️	\U0001F9D1\U0001F3FF\U0000FE0F	U+1F9D1 U+1F3FF	adult: dark skin tone
138.png	man	👨️	\U0001F468\U0000FE0F	U+1F468	man
139.png	man: light skin tone	👨🏻️	\U0001F468\U0001F3FB\U0000FE0F	U+1F468 U+1F3FB	man: light skin tone
140.png	man: medium-light skin tone	👨🏼️	\U0001F468\U0001F3FC\U0000FE0F	U+1F468 U+1F3FC	man: medium-light skin tone
141.png	man: medium skin tone	👨🏽️	\U0001F468\U0001F3FD\U0000FE0F	U+1F468 U+1F3FD	man: medium skin tone
142.png	man: medium-dark skin tone	👨🏾️	\U0001F468\U0001F3FE\U0000FE0F	U+1F468 U+1F3FE	man: medium-dark skin tone
143.png	man: dark skin tone	👨🏿️	\U0001F468\U0001F3FF\U0000FE0F	U+1F468 U+1F3FF	man: dark skin tone
144.png	woman	👩️	\U0001F469\U0000FE0F	U+1F469	woman
145.png	woman: light skin tone	👩🏻️	\U0001F469\U0001F3FB\U0000FE0F	U+1F469 U+1F3FB	woman: light skin tone
146.png	woman: medium-light skin tone	👩🏼️	\U0001F469\U0001F3FC\U0000FE0F	U+1F469 U+1F3FC	woman: medium-light skin tone
147.png	woman: medium skin tone	👩🏽️	\U0001F469\U0001F3FD\U0000FE0F	U+1F469 U+1F3FD	woman: medium skin tone
